drug_id
CHEMBL1201666
CHEMBL1201577
CHEMBL1201431
CHEMBL1201572
CHEMBL2103749
CHEMBL1201199
CHEMBL1201560
CHEMBL1201566
CHEMBL1201247
CHEMBL2107885
CHEMBL1201565
CHEMBL1201568
CHEMBL1201670
CHEMBL1201561
CHEMBL1201533
CHEMBL2108175
CHEMBL1201570
CHEMBL2108791
CHEMBL1201564
CHEMBL1429
CHEMBL266481
CHEMBL1201589
CHEMBL1201419
CHEMBL1201538
CHEMBL1201497
CHEMBL1201594
CHEMBL1200490
CHEMBL1201580
CHEMBL1201621
CHEMBL1201632
CHEMBL1201584
CHEMBL1201506
CHEMBL1201562
CHEMBL1201451
CHEMBL1174
CHEMBL1201581
CHEMBL1201692
CHEMBL373742
CHEMBL1201563
CHEMBL1201585
CHEMBL1201576
CHEMBL1201439
CHEMBL4744444
CHEMBL1201515
CHEMBL2108074
CHEMBL1201587
CHEMBL160
CHEMBL1201520
CHEMBL1201464
CHEMBL1201567
CHEMBL1201556
CHEMBL2108888
CHEMBL1680
CHEMBL1252
CHEMBL525076
CHEMBL1201586
CHEMBL1201583
CHEMBL2110563
CHEMBL17962
CHEMBL301523
CHEMBL8085
CHEMBL1485
CHEMBL196
CHEMBL274323
CHEMBL930
CHEMBL11298
CHEMBL42336
CHEMBL925
CHEMBL846
CHEMBL575060
CHEMBL773
CHEMBL1040
CHEMBL291962
CHEMBL54976
CHEMBL291747
CHEMBL279597
CHEMBL43068
CHEMBL1364
CHEMBL1233584
CHEMBL1042
CHEMBL54922
CHEMBL1144
CHEMBL814
CHEMBL1069
CHEMBL1168
CHEMBL1512
CHEMBL701
CHEMBL405
CHEMBL3
CHEMBL580
CHEMBL768
CHEMBL325041
CHEMBL1201236
CHEMBL1574
CHEMBL1237044
CHEMBL423
CHEMBL408
CHEMBL1229
CHEMBL2103737
CHEMBL113
CHEMBL192
CHEMBL473
CHEMBL529
CHEMBL1888176
CHEMBL1265
CHEMBL1502
CHEMBL549
CHEMBL1510
CHEMBL32
CHEMBL584
CHEMBL1481
CHEMBL115
CHEMBL503
CHEMBL1059
CHEMBL967
CHEMBL57
CHEMBL1619
CHEMBL1404
CHEMBL704
CHEMBL708
CHEMBL1043
CHEMBL1433
CHEMBL1200800
CHEMBL13
CHEMBL589
CHEMBL220492
CHEMBL1516
CHEMBL1166
CHEMBL79
CHEMBL637
CHEMBL2106240
CHEMBL1200799
CHEMBL641
CHEMBL1531
CHEMBL70
CHEMBL1077896
CHEMBL1098
CHEMBL1540
CHEMBL1538
CHEMBL877
CHEMBL1359
CHEMBL105
CHEMBL1023
CHEMBL533
CHEMBL1055
CHEMBL109
CHEMBL1185
CHEMBL112
CHEMBL939
CHEMBL485
CHEMBL702
CHEMBL1732
CHEMBL1324
CHEMBL398707
CHEMBL6
CHEMBL1431
CHEMBL1621597
CHEMBL715
CHEMBL1200686
CHEMBL1503
CHEMBL1000
CHEMBL23
CHEMBL709
CHEMBL1337
CHEMBL70418
CHEMBL802
CHEMBL1201139
CHEMBL158
CHEMBL1201774
CHEMBL264241
CHEMBL42
CHEMBL583
CHEMBL1004
CHEMBL1389
CHEMBL1437
CHEMBL152
CHEMBL654
CHEMBL979
CHEMBL499
CHEMBL1237119
CHEMBL1909303
CHEMBL1189679
CHEMBL1738
CHEMBL1491
CHEMBL1215
CHEMBL1428
CHEMBL1200500
CHEMBL103
CHEMBL1336
CHEMBL924
CHEMBL1726
CHEMBL1522
CHEMBL661
CHEMBL831
CHEMBL719
CHEMBL121
CHEMBL301265
CHEMBL1029
CHEMBL1393
CHEMBL796
CHEMBL911
CHEMBL880
CHEMBL1129
CHEMBL1200689
CHEMBL1467
CHEMBL44354
CHEMBL1477
CHEMBL22
CHEMBL888
CHEMBL713
CHEMBL632
CHEMBL1013
CHEMBL480
CHEMBL1624
CHEMBL998
CHEMBL2052016
CHEMBL469
CHEMBL465
CHEMBL787
CHEMBL41
CHEMBL1175
CHEMBL177
CHEMBL848
CHEMBL81
CHEMBL118
